Date,Title
01/16/2012,"The Properties of the 500 K Dwarf UGPS J072227.51-054031.2, and a Study of the Far-Red Flux of Cold Brown Dwarfs"
11/22/2011,Optical TiO and VO band emission in two embedded protostars: IRAS 04369+2539 and IRAS 05451+0037
11/22/2011,The radial distribution of dust species in young brown dwarf disks
11/21/2011,X-ray view of IC348 in the light of an updated cluster census
11/17/2011,Instability-Driven Dynamical Evolution Model of a Primordially 5 Planet Outer Solar System
11/17/2011,Disc Frequencies for Brown Dwarfs in the Upper Scorpius OB Association: Implications for Brown Dwarf Formation Theories
11/15/2011,VLT/X-shooter observations and the chemical composition of cool white dwarfs
11/15/2011,Kiloparsec-scale Spatial Offsets in Double-peaked Narrow-line AGNs. I. Markers for Selection of Compelling Dual AGN Candidates
11/14/2011,"Astrometry and radial velocities of the planet host M dwarf GJ 317: new trigonometric distance, metallicity and upper limit to the mass of GJ 317b"
11/08/2011,The frequency of large variations in the near-infrared fluxes of T Tauri stars
11/07/2011,On the misalignment of the directly imaged planet {\beta} Pictoris b with the system's warped inner disk
11/07/2011,The Pan-Pacific Planet Search. I. A Giant Planet Orbiting 7 CMa
11/01/2011,Transition disk chemistry and future prospects with ALMA
10/31/2011,Radiation-Hydrodynamic Simulations of Protostellar Outflows: Synthetic Observations and Data Comparisons
10/31/2011,Observing Dark Stars with JWST
10/31/2011,Detection Technique for Artificially-Illuminated Objects in the Outer Solar System and Beyond
10/26/2011,"Herschel discovery of a new class of cold, faint debris discs"
10/25/2011,The remarkable surface homogeneity of the Dawn mission target (1) Ceres
10/24/2011,Resolved Spectroscopy of a Brown Dwarf Binary at the T Dwarf/Y Dwarf Transition
09/20/2011,A Lyman alpha halo around a quasar at redshift z=6.4
09/20/2011,Planets and X-rays: a radiation diet
09/20/2011,"Modelling the Spectra of Planets, Brown Dwarfs and Stars using VSTAR"
09/19/2011,A Candidate Dual AGN at z=1.175
09/19/2011,Confronting theoretical models with the observed evolution of the galaxy population out to z=4
